Movie,Re-Watch Desire,Wins,Losses,Ties,IMDb Rating,Box Office (In Millions),MPAA Numeric,Award Winner,Foreign Film,Runtime (min),Predominate Language is English,Budget (In Millions),Genre,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War
It's a Wonderful Life,9.9,49,0,0,8.6,6.5,2,0,0,130,1,3.18,"Drama, Family, Fantasy, Romance",0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Good Will Hunting,9.7,48,1,0,8.3,225,4,1,0,126,1,10,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Catch Me If You Can,9.5,47,2,0,8.1,352,3,0,0,141,1,52,"Biography, Crime, Drama",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Whiplash,9.1,45,4,0,8.5,49,4,1,0,106,1,3.3,"Drama, Music",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Eternal Sunshine of the Spotless Mind,8.9,44,5,0,8.3,74,4,1,0,108,1,20,"Drama, Romance, Sci-Fi",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
The Big Short,8.7,43,6,0,7.8,133,4,1,0,130,1,50,"Biography, Comedy, Drama, History",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Dallas Buyers Club,8.7,43,6,0,7.9,55,4,1,0,117,1,5,"Biography, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Coraline,7.9,39,10,0,7.8,125,2,0,0,100,1,60,"Animation, Drama, Family, Fantasy",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Joker,7.7,38,11,0,8.4,1074,4,1,0,122,1,55,"Crime, Drama, Thriller",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Big Fish,7.5,37,12,0,8,123,3,0,0,125,1,70,"Adventure, Drama, Fantasy, Romance",0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
The Dark Knight,7.1,35,14,0,9,1005,3,1,0,152,1,185,"Action, Crime, Drama, Thriller",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Fight Club,7.1,35,14,0,8.8,101,4,0,0,139,1,63,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lion King,7.1,35,14,0,8.5,968,1,1,0,88,1,45,"Animation, Adventure, Drama, Family, Fantasy, Musical",0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Coco,7.1,35,14,0,8.4,814,2,1,0,105,1,175,"Animation, Adventure, Drama, Family, Fantasy, Music, Mystery",0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
WALL.E,6.7,33,16,0,8.4,533,1,1,0,98,1,180,"Animation, Romance, Sci-Fi",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Inside Out,6.7,33,16,0,8.1,858,2,1,0,95,1,175,"Animation, Adventure, Comedy, Drama, Family, Fantasy",0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Hercules,6.7,33,16,0,7.3,252,1,0,0,93,1,85,"Animation, Action, Adventure, Comedy, Family, Fantasy, Musical, Romance",1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0
