Movie,Re-Watch Desire,Wins,Losses,Ties
It's a Wonderful Life,9.9,49,0,0
Good Will Hunting,9.7,48,1,0
Catch Me If You Can,9.5,47,2,0
Whiplash,9.1,45,4,0
Eternal Sunshine of the Spotless Mind,8.9,44,5,0
The Big Short,8.7,43,6,0
Dallas Buyers Club,8.7,43,6,0
Coraline,7.9,39,10,0
Joker,7.7,38,11,0
Big Fish,7.5,37,12,0
The Dark Knight,7.1,35,14,0
Fight Club,7.1,35,14,0
The Lion King,7.1,35,14,0
Coco,7.1,35,14,0
WALL.E,6.7,33,16,0
Inside Out,6.7,33,16,0
Hercules,6.7,33,16,0
Tarzan,6.7,33,16,0
Uncut Gems,6.1,30,19,0
The Farewell,5.9,29,20,0
The Big Lebowski,5.7,28,21,0
Up,5.5,27,22,0
Everything Everywhere All At Once,5.5,27,22,0
The Nightmare Before Christmas,5.3,26,23,0
Big Hero 6,5.1,25,24,0
Titanic,5.1,25,24,0
The Imitation Game,4.9,24,25,0
Soul,4.7,23,26,0
The Fabelmans,4.7,23,26,0
The Social Network,4.5,22,27,0
Parasite,3.9,19,30,0
Office Space,3.9,19,30,0
Moneyball,3.7,18,31,0
Turning Red,3.7,18,31,0
Cars,3.5,17,32,0
Mulan,3.3,16,33,0
Your Name,2.9,14,35,0
Logan,2.7,13,36,0
Straight Outta Compton,2.3,11,38,0
La La Land,2.3,11,38,0
The Pursuit of Happyness,2.1,10,39,0
Moana,1.9,9,40,0
Vice,1.7,8,41,0
Lilo & Stitch,1.7,8,41,0
Past Lives,1.5,7,42,0
The Wolf of Wall Street,1.1,5,44,0
"Monsters, Inc.",0.9,4,45,0
The Whale,0.5,2,47,0
Kung Fu Panda,0.3,1,48,0
The Lego Movie,0.3,1,48,0
