Movie,IMDb Rating,Box Office (In Millions),MPAA Numeric,Award Winner,Foreign Film,Runtime (min),Budget (In Millions),Genre,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War
It's a Wonderful Life,8.6,6.5,2,0,0,130,3.18,"Drama, Family, Fantasy, Romance",0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Good Will Hunting,8.3,225,4,1,0,126,10,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Catch Me If You Can,8.1,352,3,0,0,141,52,"Biography, Crime, Drama",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Whiplash,8.5,49,4,1,0,106,3.3,"Drama, Music",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Eternal Sunshine of the Spotless Mind,8.3,74,4,1,0,108,20,"Drama, Romance, Sci-Fi",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
The Big Short,7.8,133,4,1,0,130,50,"Biography, Comedy, Drama, History",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Dallas Buyers Club,7.9,55,4,1,0,117,5,"Biography, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Coraline,7.8,125,2,0,0,100,60,"Animation, Drama, Family, Fantasy",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Joker,8.4,1074,4,1,0,122,55,"Crime, Drama, Thriller",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Big Fish,8,123,3,0,0,125,70,"Adventure, Drama, Fantasy, Romance",0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
The Dark Knight,9,1005,3,1,0,152,185,"Action, Crime, Drama, Thriller",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Fight Club,8.8,101,4,0,0,139,63,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lion King,8.5,968,1,1,0,88,45,"Animation, Adventure, Drama, Family, Fantasy, Musical",0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Coco,8.4,814,2,1,0,105,175,"Animation, Adventure, Drama, Family, Fantasy, Music, Mystery",0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
WALL.E,8.4,533,1,1,0,98,180,"Animation, Romance, Sci-Fi",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Inside Out,8.1,858,2,1,0,95,175,"Animation, Adventure, Comedy, Drama, Family, Fantasy",0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Hercules,7.3,252,1,0,0,93,85,"Animation, Action, Adventure, Comedy, Family, Fantasy, Musical, Romance",1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0
Tarzan,7.3,448,1,1,0,88,130,"Animation, Adventure, Comedy, Drama, Family, Music",0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
Uncut Gems,7.4,50,4,0,0,135,19,"Crime, Drama, Thriller",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
The Farewell,7.5,23,2,0,1,100,3,"Comedy, Drama",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Big Lebowski,8.1,46,4,0,0,117,15,"Comedy, Crime",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Up,8.3,735,2,1,0,96,175,"Animation, Adventure, Comedy, Drama, Family",0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Everything Everywhere All at Once,7.8,141,4,1,0,139,25,"Action, Adventure, Comedy, Fantasy, Sci-Fi",1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
